Url,PRODUCT URL-href,Product name,product Description ,product price ,ASIN,MANUFACTURERS ,RATING,NUMBER OF REVIEWS
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)",https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1688572310&sprefix=ba%2Caps%2C283&sr=8-39,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)",899,"Care Instructions: Hand Wash Only     100% Polyester, High Quality, Durable and Water Resistant Fabric     2 compartment backpack with a padded sleeve for laptops, can hold upto 17 inch laptop/notebook     Front storage pocket keeps smaller items neatly organized and easy to access     Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects     Special Features: Lightweight; Closure Type: Zipper; Age Range Description: Adult",,,,
ADISA Light Weight Laptop Backpack 32 Ltrs,https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1688572310&sprefix=ba%2Caps%2C283&sr=8-38,ADISA Light Weight Laptop Backpack 32 Ltrs,499,"Care Instructions: Hand Wash Only     Adjustable Shoulder Handles / Two Bottle holders / Padded Handle / Reflector Logo     Dimensions : LxWxH- 31 x 18 x 47 cms     Laptop : 15.6 inches and below (Bigger than 15.6 not recommended)     No. of Compartments : 3 with full padding     NOT INCLUDED : NO RAIN COVER, Laptop, Headphones & Cable (Images only for display)",,,,
NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3SPN16/ref=sr_1_37?crid=2M096C61O4MLT&keywords=bags&qid=1688572310&sprefix=ba%2Caps%2C283&sr=8-37,NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,495,"Care Instructions: Hand Wash Only     COMPATIBLE WITH 15.6 INCH LAPTOP”: The Northzone Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 499g     HIGH QUALITY, DURABLE AND WATER REPELLANT FABRIC”: This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important items     CONVENIENT TRAVEL"" Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day use     CONVENIENTLY PLACED PADDED LAPTOP COMPARTMENTS AND POCKETS: The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.     HIGH QUALITY, CASUAL YET STYLISH DESIGN"": very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop.",,,,
"POLESTAR Vintage 15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",https://www.amazon.in/POLESTAR-Vintage-Laptop-Backpack-bagpack/dp/B081GSQ9D9/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1688572310&sprefix=ba%2Caps%2C283&sr=8-36,"POLESTAR Vintage 15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",549,"Care Instructions: Wipe with Damp Cloth     PADDED LAPTOP COMPARTMENT WITH MAXED OUT STORAGE : Generous 32 Ltrs backpack with Dimension of 32 Cm x 22 Cm x 45 Cm, 2 full size compartments, 1 front zipper & 2 side pockets, Fits upto 15.6 inches Laptop with elasticated strap lock at just 590 grams.     CRAFTED WITH PRECISION : Made with strong, water resistant Polyester fabric and faux leather for a lightweight and durable finish. Our polestar Vintage backpack is a blend of style and utility. A classic design with opulent detailing and vegan leather material adds to your style and keeps your belongings safe.     COMFORTABLE CARRY : This strong and impervious backpack is a fabulous choice for daily use. Guaranteed for strength and durability, it has padded breathable mesh back and adjustable straps. The interiors have added foam padding to protected electronics. Ergo-Grip Backstraps that distribute weight evenly over your shoulders and back, while the integrated top grab handle lets you move effortlessly.     BENEFITS: 2 main compartments provide optimal organisation, with premium zippers keeping your valuables protected, two side water bottle pockets help keep your goods dry and body hydrated.     VERSATILITY : This made in india versatile backpack comes with 12 months warranty, and is perfect for everyone, men, women, students, boys & girls, can be used as school, college, office or day travelling backpacks. All in one VINTAGE BACKPACK by Polestar.",,,,
NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit,https://www.amazon.in/Nivia-5183-Polyester-Duffle-Medium/dp/B071KNXQ7Y/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1688572310&sprefix=ba%2Caps%2C283&sr=8-35,NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit,489,Highly water-resistant finish to save inner items from water splashes     Adjustable shoulder strap     Top grab handle     Optimum quality of accessories and zipper for smoother functioning and high durability     Durable zippers and enhanced by strong stitching at major stress points provide long-lasting durability against daily activities,4.2,"3,403 ratings",B071KNXQ7Y,?Freewill Sports Private Limited
product url,product url-href,product name,product price ,description ,rating,number of reviews,ASIN,Manufacturer
Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Black),https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07NJRPJ6Q/ref=sr_1_68?crid=2M096C61O4MLT&keywords=bags&qid=1688572974&sprefix=ba%2Caps%2C283&sr=8-68,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Black),448,"Pattern Type : Pure Color || Closure Type : Zipper || Gender : Unisex     Material : Snow Yarn Polyester Fabric || Handle/Strap Type : Soft Handle/Adjustable Shoulder Straps     Dimensions : 12.5 * 18 Inch || Capacity : 25 Litre || Fit for 15.6 Inch Laptops/Notebooks     Two Side Water Bottle Pockets || One Main Compartment And A Front Pocket     Eco-friendly, Durable, Lightweight, Flexible And Water-Resistant Material Helps To Keep The Interior Dry       
                 › See more product details",,,"? 14,599.00",
Bagneeds Men's Black Synthetic Leather Briefcase Best Laptop Messenger Bag Satchel for Men,https://www.amazon.in/Bagneeds-Synthetic-Leather-Briefcase-Messenger/dp/B0855F8174/ref=sr_1_67?crid=2M096C61O4MLT&keywords=bags&qid=1688572974&sprefix=ba%2Caps%2C283&sr=8-67,Bagneeds Men's Black Synthetic Leather Briefcase Best Laptop Messenger Bag Satchel for Men,749,"Suitable for a short business trip or a quick weekend getaway. Size In inches?17""L*4.5""W*12.4""H. weight: 800grm     Laptop padding? The laptop padding fits 15.6 inch laptop for business travel. Other compartment fits 17inch Laptop. Large capacity and front and interior pockets organization for all your business needs.     Removable, adjustable padded shoulder strap     HIGH QUALITY MATERIAL: Made from Premium and Rich quality PU Leather Fabric with Durable Polyester lining.     PERFECT GIFT :With a mutlipurpose use and a classy distressed Vintage inspired look which never goes out of style , This bag is a great gift idea for Fathers Day , Birthdays , Valentines Day , Christmas, Graduation, Back To College Or Any Occasion Which Calls For A Gift . Makes a great gift for professionals, artists , students and all sorts of officials. The bag can be used as a Leather messenger bag for men and women ,laptop bags briefcase , college bag, meeting bag, gift idea",4.1,"4,422 ratings","? 2,099.00",Bagneeds
URBAN CARRIER School Bag For girls school bags for boys Class 5-10 Large 4 partition 45 L Laptop Collage Office Travel Unisex Backpack,https://www.amazon.in/School-school-partition-Collage-Backpack/dp/B09NNYCQ1Q/ref=sr_1_66?crid=2M096C61O4MLT&keywords=bags&qid=1688572974&sprefix=ba%2Caps%2C283&sr=8-66,URBAN CARRIER School Bag For girls school bags for boys Class 5-10 Large 4 partition 45 L Laptop Collage Office Travel Unisex Backpack,431,"Care Instructions: Hand Wash Only     Fit Type: Regular<br><br>     Fabric : Polyester, Stylish And Durable Backpack For Office School /College And Travel. Easily Accommodate A Laptop. Size: 40 Cm X 33 Cm X 25 Cm<br><br>     Adjustable Padded Shoulder Straps / 2 Bottle Holders / Duble stitching For Carry Havy books / Stylish look/Comfortable Shoulder starps; Padded Back Panel And Padded Shoulder Straps<br><br>     Suitable For : Casual Backpacks , Laptop Backpacks ,School Bags ,Office Backpacks ,College Bag ,Daypacks , Travel Backpack , Casual Bags, Backpacks , Bagpacks<br><br>     Color Name: Navy White; Closure Type: Zipper; Water Resistance Level: Waterproof; Age Range Description: Adult; Special Features: Laptop Compartment<br>",3.6,855 ratings,"? 1,799.00",URBAN CARRIER
"Veneer Medium 20 L Laptop Backpack Men Womens Girls Fashion PU Leather Mini Casual Backpack Bags for School, College, Tuition, Office Bag",https://www.amazon.in/Veneer-Backpack-Fashion-Leather-College/dp/B09BMG8R6Y/ref=sr_1_65?crid=2M096C61O4MLT&keywords=bags&qid=1688572974&sprefix=ba%2Caps%2C283&sr=8-65,"Veneer Medium 20 L Laptop Backpack Men Womens Girls Fashion PU Leather Mini Casual Backpack Bags for School, College, Tuition, Office Bag",998,"Care Instructions: Hand Wash Only     Durable and Fashion Style: This bag is soft, comfortable, safe, fashionable and durable, odorless and high-end. This modern fashion stylish backpack bag for girls, womens. It gives amazing look with your outfit. This bag is simple yet quite attractive. This beautiful colour is eye-catchingly and can help you flaunt your distinguished nature.<br><br><br> <br>     Target gender: unisex<br><br><br> <br>     Material Type: Synthetic; Color Name: Brown; Strap Type: Adjustable; Age Range Description: Adult<br><br> <br>     Water Resistance Level: Waterproof; Pattern Name: Solid <br>",4.2,909 ratings,B09BMG8R6Y,THE HUTCH ENTERPRISES
Fur Jaden Hiking Camping Rucksack Casual 10 Ltrs Blue Casual Backpack,https://www.amazon.in/Fur-Jaden-Rucksack-Backpack-BM43_Blue/dp/B07PS38XSP/ref=sr_1_64?crid=2M096C61O4MLT&keywords=bags&qid=1688572974&sprefix=ba%2Caps%2C283&sr=8-64,Fur Jaden Hiking Camping Rucksack Casual 10 Ltrs Blue Casual Backpack,239,"Ideal For - Men, Women and Children of all age groups. Can be used for Hiking, Trekking or as a Casual Backpack for Daily Commute     Small Size - Please note this is a small sized backpack and we request you to see Mannequin Image before ordering to understand size.     Dimension and Capacity - 10L Backpack. Dimensions - 23 x 39 x 10 CM (L x H x W).     The backpack features a sleek and ergonomic design with a balanced weight distribution. This makes this product a suitable alternative to bulky and unsightly backpacks. The compact design of this backpack helps you to rest it comfortably on your shoulders while accommodating all your essentials with ease.     Warranty - 6 Month Warranty Against Manufacturing Defects. 10 Days No Questions Asked Return Policy",3.6,"7,886 ratings",B07PS38XSP,Fur Jaden
FUR JADEN 15.6 Anti Theft Laptop Backpack with USB Charging Port Unisex Bag for College Office Suitable for Men Women,https://www.amazon.in/Jaden-Black-Theft-Waterproof-Backpack/dp/B07B1TFJ7M/ref=sr_1_63?crid=2M096C61O4MLT&keywords=bags&qid=1688572974&sprefix=ba%2Caps%2C283&sr=8-63,FUR JADEN 15.6 Anti Theft Laptop Backpack with USB Charging Port Unisex Bag for College Office Suitable for Men Women,749,"Add an Accessory:
                                               Rain & Dust Cover for Backpack (30 Litres, Black)Rain & Dust Cover for Backpack (30 Litres, Black)       ?239.00     Add to Cart     Added to Cart   An error occurred when processing your request.",4,"6,102 ratings","? 4,499.00",23-Feb-18
Arctic Fox 15 Liters Draw String Bag Lavender Backpack,https://www.amazon.in/Arctic-Fox-Liters-String-Backpack/dp/B08L6Q9V1H/ref=sr_1_62?crid=2M096C61O4MLT&keywords=bags&qid=1688572974&sprefix=ba%2Caps%2C283&sr=8-62,Arctic Fox 15 Liters Draw String Bag Lavender Backpack,229,Care Instructions: Hand Wash Only     Compartments : 1 Compartment and 1 front pocket :: Zipper : #5 SBS Nylon Zipper and Runner Puller,4.3,"3,335 ratings",B08L6Q9V1H,Arctic Fox
"Genie Iridescence School Bag for Girls, 17 inch Backpack for Women, 3 compartments Water Resistant Stylish and Trendy College Backpacks for Girls",https://www.amazon.in/Genie-Iridescence-Multicolor-Backpack-Resistant/dp/B084VQLJL8/ref=sr_1_61?crid=2M096C61O4MLT&keywords=bags&qid=1688572974&sprefix=ba%2Caps%2C283&sr=8-61,"Genie Iridescence School Bag for Girls, 17 inch Backpack for Women, 3 compartments Water Resistant Stylish and Trendy College Backpacks for Girls",899,"Outer Material: Nylon, Color: Multi-Color     Water resistant, Warranty type: Manufacturer; 1 year manufacturer warranty is non-transferable and valid for 1 year from the original date of purchase     Capacity: 27 liters; Weight: 440 grams; Dimensions: 12 inches x 8 inches x 17 inches (LxWxH), Laptop Compatibility: No     Number of compartments: 3 Spacious compartment to keep your essentials like textbooks, stationary, lunchbox etc. It can accommodate upto 12-14 notebook/textbook     One Side Pocket: The backpack provides 1 exterior full fabric side pocket for holding water bottle, clipping pens or pencil or storing other items     Multi Level Organizer: Reduce clutter and organize your school essentials with the multi-level organizer     Ergonomic Straps: There is padded back mesh and ergonomic straps that gives extra spine and shoulder support and helps in minimizing the load after carrying the bag through a busy day at campus       
                           EASY GRAB PADDED HANDLE for added comfort and convenience to hold the bag  Outer Material : Nylon Twill, Colour : Multicolour. The backpack is LIGHT WEIGHT yet strong enough to hold your school supplies. The superior quality NYLON TWILL material lends a beautiful shine and soft feel to the backpack.      Show More",4,"3,209 ratings","? 2,305.00",Safari
FUR JADEN Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port For Men Women Boys Girls,https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_58?crid=2M096C61O4MLT&keywords=bags&qid=1688572974&sprefix=ba%2Caps%2C283&sr=8-58,FUR JADEN Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port For Men Women Boys Girls,839,"Add an Accessory:
                                               Rain & Dust Cover for Backpack (30 Litres, Black)Rain & Dust Cover for Backpack (30 Litres, Black)       ?239.00     Add to Cart     Added to Cart   An error occurred when processing your request.",4,"13,806 ratings","? 1,085.00",16-Dec-17
Gear Casual Backpack,https://www.amazon.in/Gear-Black-Casual-Backpack-MDBKPECO50104/dp/B0757MBSS6/ref=sr_1_57?crid=2M096C61O4MLT&keywords=bags&qid=1688572974&sprefix=ba%2Caps%2C283&sr=8-57,Gear Casual Backpack,399,"Care Instructions: Wipe with Damp Cloth     Outer Material: Polyester, Color: Black Grey     Water Resistance: Water resistant     Capacity: 21 liters; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)     Number of compartments: 1; Laptop Compatibility: No, Strap Type: Adjustable     Style Name: Traditional Backpacks; Special Features: Laptop Compartment; Age Range Description: Adult; Closure Type: Zipper; Pocket Description: Utility Pocket",3.8,"2,196 ratings",Gear,30-Aug-17
NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,https://www.amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=sr_1_56?crid=2M096C61O4MLT&keywords=bags&qid=1688572974&sprefix=ba%2Caps%2C283&sr=8-56,NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,219,"(1130 ratings) 
91% positive over last 12 months",,,? 429.00,
"Safari Spartan 21 Ltrs Water Resistant Backpack - Teal, S (SPARTAN19CBTEA)",https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B277CR5/ref=sr_1_55?crid=2M096C61O4MLT&keywords=bags&qid=1688572974&sprefix=ba%2Caps%2C283&sr=8-55,"Safari Spartan 21 Ltrs Water Resistant Backpack - Teal, S (SPARTAN19CBTEA)",599,Lightweight yet durable backpack/daypack for school use or everyday outings     Front storage pocket keeps smaller items neatly organized and easy to access     Mesh pockets on both sides to accommodate your water bottle and umbrella     Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects     Age Range Description: Adult; Closure Type: Zipper; Lining Description: Polyester,3.8,847 ratings,"? 2,010.00",Safari Industries
ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_54?crid=2M096C61O4MLT&keywords=bags&qid=1688572974&sprefix=ba%2Caps%2C283&sr=8-54,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),599,Material: Water Resistant Strong Polyester     Compartments: 2 with padding     Laptop Size: 15.6 inch and below     Dimensions: LxWxH - 11 x 6 x 18 inches     Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders / Padded Top Handle / Rain Cover,3.8,222 ratings,B0BPVLXD53,ADISA
"Lenovo 15.6"" Casual Backpack B210",https://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ/ref=sr_1_53?crid=2M096C61O4MLT&keywords=bags&qid=1688572974&sprefix=ba%2Caps%2C283&sr=8-53,"Lenovo 15.6"" Casual Backpack B210",799,"Care Instructions: Hand Wash Only     Compatible With 15.6"" Laptop : The Lenovo B210 Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 453g.     High Quality, Durable and Water Repellent Fabric : This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important items     Convenient Travel : Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day use. Fits Up To (L x D x H) 255 x 22 x 362 mm     Conveniently Placed Padded Laptop Compartments and Packets : The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.     High Quality, Casual yet Stylish Design : Very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop     There might be minor color variation between actual product and image shown on screen due to lighting on the photography       
                           In the Box : 15.6-inch Backpack  Country of Origin: China      Show More",4.2,"27,267 ratings","Lenovo, Ferns Icon, Level, 2, Outer Ring Rd, Doddanekundi, Mahadevapura, Bengaluru, Karnataka 560157",23-Feb-18
Trajectory 15.6 Inch Vegan Leather Messenger Laptop bag for men in Office for all laptop like Apple MacBook with 2 Years Warranty and Spacious Multiple Compartment with Expandable Bottom Used as Shoulder and Handbag for Men,https://www.amazon.in/Trajectory-Elegant-15-6-Laptop-Office/dp/B09RK6NCGC/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1688572974&sprefix=ba%2Caps%2C283&sr=8-52,Trajectory 15.6 Inch Vegan Leather Messenger Laptop bag for men in Office for all laptop like Apple MacBook with 2 Years Warranty and Spacious Multiple Compartment with Expandable Bottom Used as Shoulder and Handbag for Men,"1,399","PREMIUM LEATHER: We present you a Messenger bag made from Premium Grade 100% Vegan Leather. This vegan leather comes in dual tone Brown shade tone with grain pattern that is rich in taste and is perfect for men with Class.     PERFECT FIT: This bag is suitable for upto 15.6 inch laptop. You get to store the laptop inside a separate 10mm Thick Padded Laptop Compartment so that you laptop stays safe from sudden shock.     SPACIOUS: With 2 Large Main Compartments, 3 Medium Compartments, Inner Accessories pocket, you get plenty of space to store your day to day office things likes Laptop, books, few clothes, bottle, documents and other small essentials. Moreover, the bag is  Expandable upto additional 30% with its bottom chain giving you more space in the hour of need.     TOP NOTCH CRAFTSMANSHIP: At Trajectory, we train every artisan to a degree of perfection so that you get a bag with fine stitching standards. Moreover, We use Best in Class Antique Style Hardware for providing Classic look and durability to the bag.     QUALITY GUARANTEED: While amazon gives 10 days return policy, we at Trajectory give 30 days return in case of any manufacturing defect. Along with that, we provide 2 years warranty against manufacturing defect. Our Customer support team is happy to serve you, call us.",4.2,450 ratings,"? 3,049.00",Trajectory Marketing LLP
F Gear Luxur Brown 25 liter Laptop Backpack (2404),https://www.amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1688572974&sprefix=ba%2Caps%2C283&sr=8-51,F Gear Luxur Brown 25 liter Laptop Backpack (2404),"1,099","Add an Accessory:
                                               Repel 30 ltrs Rain and Dust Cover for Laptop Bags and Backpacks       ?379.00     Add to Cart     Added to Cart   An error occurred when processing your request.",4.4,"16,896 ratings","? 6,139.00",15-Sep-15
product url,product url-href,product name,product price,product description ,rating,number of reviews ,ASIN,Maanufacturer
Wesley 15 Liter Casual Daypack Backpack,https://www.amazon.in/Wesley-Liter-Casual-Daypack-Backpack/dp/B0BVVY98PZ/ref=sr_1_84?crid=2M096C61O4MLT&keywords=bags&qid=1688636578&sprefix=ba%2Caps%2C283&sr=8-84,Wesley 15 Liter Casual Daypack Backpack,169,Care Instructions: Hand Wash Only     Wesley Daypack,4,35 ratings,B0BVVY98PZ,Wesley
ADISA Large Laptop Backpack Office Bag College Travel Back Pack with USB (Black),https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BXQZ6Q85/ref=sr_1_83?crid=2M096C61O4MLT&keywords=bags&qid=1688636578&sprefix=ba%2Caps%2C283&sr=8-83,ADISA Large Laptop Backpack Office Bag College Travel Back Pack with USB (Black),499,Material: High Quality Polyester     1 large compartment and 1 easy-access pocket     Laptop Size: 15.6 inch and below     Dimensions: LxWxH - 12 x 4.5 x 17 inches     USB / Reflector Logo / Adjustable Padded Shoulder Straps / Bottle holder / Padded Top Handle,4,66 ratings,B0BXQZ6Q85,ADISA
Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,https://www.amazon.in/Half-Moon-Backpack-Spacious-Multiple/dp/B0C241FLW2/ref=sr_1_82?crid=2M096C61O4MLT&keywords=bags&qid=1688636578&sprefix=ba%2Caps%2C283&sr=8-82,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,649,"This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.     Carry your books and belongings with ease with this comfortable and durable bagpack! Featuring wide, padded, and adjustable shoulder straps and a padded back, this backpack can handle even heavy loads. Made with strong yet lightweight polyester fabric and heavy-duty zippers, it's built to last. Plus, it comes with a rain cover, perfect for those rainy school or college days.     Make a statement on your next trip with our smart and stylish backpack! With a trendy and athletic design, this multipurpose backpack is the perfect combination of style and adventure. Your trips, travel experience cannot get completed without this amazing trekking backpack.     Experience enduring and long-lasting performance with our backpack! Made with highly durable material, this backpack is suitable for all weather conditions, including heavy rains and extreme heat. It not only keeps your belongings safe but also resists damage to itself. So, don't settle for anything less.     FEATURES: 15.6 inch Laptop compartment, Internal Organiser, Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, etc",3.7,85 ratings,B0C241FLW2,Half_Moon
DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Red Black,https://www.amazon.in/DZert-Polyester-Black-White-Backpack/dp/B07GXX2BP3/ref=sr_1_81?crid=2M096C61O4MLT&keywords=bags&qid=1688636578&sprefix=ba%2Caps%2C283&sr=8-81,DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Red Black,339,Closure Type: Zipper; Strap Type: Adjustable; Age Range Description: Kid; Warranty Description: No Warranty; Style Name: Daypack Backpacks; Color Name: Blu-Wht; Water Resistance Level: Water Resistant,3.8,"2,460 ratings",Rushi Enterprise,28-Aug-18
SAFARI 15 Ltrs Denim Blue Casual/School/College Backpack (DAYPACKNEO15CBDNB),https://www.amazon.in/SAFARI-Denim-Casual-Backpack-DAYPACKNEO15CBDNB/dp/B07NSC4SL5/ref=sr_1_80?crid=2M096C61O4MLT&keywords=bags&qid=1688636578&sprefix=ba%2Caps%2C283&sr=8-80,SAFARI 15 Ltrs Denim Blue Casual/School/College Backpack (DAYPACKNEO15CBDNB),321,"Care Instructions: Hand Wash Only     Outer Material: Polyester, Color: Denim Blue; Not water resistant     Capacity: 15 liters; Weight: 200 grams; Dimensions: 12 cms x 27 cms x 41 cms (LxWxH)     Number of compartments: 2     Laptop Compatibility: No;There might be minor color variation between actual product and image shown on screen due to lighting on the photography     Closure Type: Drawstring; Age Range Description: Kid; Pocket Description: Utility Pocket     Drawstring, 2 Compartments, Compact Size",4,"12,955 ratings",B07NSC4SL5,Safari Industries (India) Ltd
Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,https://www.amazon.in/Half-Moon-Backpack-Spacious-Multiple/dp/B0C23Z9W18/ref=sr_1_79?crid=2M096C61O4MLT&keywords=bags&qid=1688636578&sprefix=ba%2Caps%2C283&sr=8-79,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,649,"This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.     Carry your books and belongings with ease with this comfortable and durable bagpack! Featuring wide, padded, and adjustable shoulder straps and a padded back, this backpack can handle even heavy loads. Made with strong yet lightweight polyester fabric and heavy-duty zippers, it's built to last. Plus, it comes with a rain cover, perfect for those rainy school or college days.     Make a statement on your next trip with our smart and stylish backpack! With a trendy and athletic design, this multipurpose backpack is the perfect combination of style and adventure. Your trips, travel experience cannot get completed without this amazing trekking backpack.     Experience enduring and long-lasting performance with our backpack! Made with highly durable material, this backpack is suitable for all weather conditions, including heavy rains and extreme heat. It not only keeps your belongings safe but also resists damage to itself. So, don't settle for anything less.     FEATURES: 15.6 inch Laptop compartment, Internal Organiser, Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, etc",3.7,85 ratings,B0C23Z9W18,Half_Moon
"Veneer Medium 20 L Laptop Backpack Men Womens Girls Fashion PU Leather Mini Casual Backpack Bags for School, College, Tuition, Office Bag",https://www.amazon.in/Veneer-Backpack-Fashion-Leather-College/dp/B09BMG8R6Y/ref=sr_1_78?crid=2M096C61O4MLT&keywords=bags&qid=1688636578&sprefix=ba%2Caps%2C283&sr=8-78,"Veneer Medium 20 L Laptop Backpack Men Womens Girls Fashion PU Leather Mini Casual Backpack Bags for School, College, Tuition, Office Bag",998,"Care Instructions: Hand Wash Only     Durable and Fashion Style: This bag is soft, comfortable, safe, fashionable and durable, odorless and high-end. This modern fashion stylish backpack bag for girls, womens. It gives amazing look with your outfit. This bag is simple yet quite attractive. This beautiful colour is eye-catchingly and can help you flaunt your distinguished nature.<br><br><br> <br>     Target gender: unisex<br><br><br> <br>     Material Type: Synthetic; Color Name: Brown; Strap Type: Adjustable; Age Range Description: Adult<br><br> <br>     Water Resistance Level: Waterproof; Pattern Name: Solid <br>",4.2,909 ratings,B09BMG8R6Y,THE HUTCH ENTERPRISES
